2021 Statistical Area Level 1 (SA1),State,Usual Resident Population,Score,Percentile within State
10106154406,NSW,257,1007.988054,47
10106154408,NSW,374,962.2215883,32
10106154409,NSW,341,938.1958178,25
10106154410,NSW,389,910.6543295,18
10106154411,NSW,461,1030.734767,55
10106154412,NSW,335,973.0440826,36
10106154413,NSW,273,773.08684,2
10106154414,NSW,373,989.616901,41
10106154415,NSW,383,947.593793,28
10106154416,NSW,253,859.7745316,9
10106154417,NSW,673,902.6743167,16
10106154418,NSW,483,1087.831465,73
10106154419,NSW,390,971.0076726,35
10106154420,NSW,254,941.0054394,26
10106154421,NSW,375,841.6459675,6
10106154422,NSW,49,987.0100745,40
10106154423,NSW,432,867.3997988,10
10201102802,NSW,612,1082.008357,71
10201102803,NSW,641,1084.47368,72
10201102804,NSW,233,1083.776945,72
10201102805,NSW,302,1117.168895,81
10201102806,NSW,546,1038.998227,58
10201102807,NSW,467,1111.580517,79
10201102808,NSW,397,1117.961195,81
10201102809,NSW,637,1103.457023,77
10201102810,NSW,490,1094.088891,75
10201102811,NSW,424,1073.236731,68
10201102812,NSW,452,1065.04558,66
10201102813,NSW,360,1027.612739,54
10201102814,NSW,450,1091.978914,74
10201102815,NSW,367,1034.336584,56
10201102816,NSW,267,1114.551433,80
10201102817,NSW,433,1109.484029,79
10201102818,NSW,442,1093.693907,75
10201102901,NSW,344,1094.968988,75
10201102902,NSW,341,1095.111064,75
10201102903,NSW,450,988.7273473,41
10201102904,NSW,542,993.8558354,43
10201102905,NSW,402,1057.674488,63
10201102906,NSW,240,1129.31776,84
10201102907,NSW,301,1035.234305,56
10201102908,NSW,392,1050.10248,61
10201102909,NSW,392,1050.951034,61
10201102910,NSW,589,1007.95191,47
10201102911,NSW,517,1073.344145,68
10201102912,NSW,473,1113.099772,80
10201102913,NSW,344,1104.915723,78
10201102914,NSW,301,1072.824914,68
10201102915,NSW,500,1037.092612,57
10201102916,NSW,370,1036.583666,57
10201102917,NSW,308,1088.626191,73
10201102918,NSW,355,1103.841345,77
10201102919,NSW,377,1025.790894,53
10201102922,NSW,525,1075.91078,69
10201102923,NSW,373,1033.464278,56
10201102924,NSW,478,1081.522709,71
10201102925,NSW,542,1033.522293,56
10201102926,NSW,323,1097.986366,76
10201102927,NSW,548,1085.898111,72
10201102928,NSW,721,937.0928293,25
10201103002,NSW,606,1047.857817,60
10201103003,NSW,227,1022.737942,52
10201103004,NSW,301,1031.351876,55
10201103005,NSW,253,1060.001791,64
10201103006,NSW,356,1040.841652,58
10201103007,NSW,387,1041.905501,59
10201103008,NSW,205,1030.850266,55
10201103009,NSW,430,987.3947729,41
10201103010,NSW,473,990.5746309,42
10201103011,NSW,558,917.5246404,20
10201103012,NSW,448,1091.873333,74
10201103014,NSW,463,1034.948572,56
10201103101,NSW,346,1084.215467,72
10201103102,NSW,369,1101.748071,77
10201103103,NSW,469,924.5435346,22
10201103104,NSW,501,869.5683426,10
10201103105,NSW,437,1000.61425,45
10201103106,NSW,278,942.2797842,27
10201103107,NSW,33,1125.043862,83
10201103108,NSW,258,1095.673326,75
10201103109,NSW,256,1055.52404,63
10201103110,NSW,439,1001.368813,45
10201103111,NSW,411,1033.814468,56
10201103112,NSW,173,1145.956922,89
10201103113,NSW,449,1146.400579,89
10201103114,NSW,498,1119.548731,82
10201103115,NSW,558,1117.910894,81
10201103116,NSW,519,1086.103136,72
10201103117,NSW,377,1033.08162,56
10201103118,NSW,418,1128.248356,84
10201103119,NSW,454,1103.386276,77
10201103120,NSW,397,1066.25791,66
10201103121,NSW,275,1018.044338,51
10201103122,NSW,423,1035.49319,56
10201103123,NSW,393,887.0918222,13
10201103124,NSW,352,1051.364301,62
10201103125,NSW,244,1006.280834,47
10201103126,NSW,494,790.7816614,3
10201103127,NSW,392,1076.466612,69
10201103128,NSW,471,1039.290501,58
10201103129,NSW,586,1100.691218,76
10201103130,NSW,327,1071.400279,68
10201103131,NSW,668,851.4260799,7
10201103133,NSW,391,1080.86072,71
10201103134,NSW,439,1029.731897,54
10201103135,NSW,425,1053.872704,62
10201103136,NSW,377,1011.736521,49
10201103137,NSW,341,1000.058017,45
10201103138,NSW,524,1016.341534,50
10201103201,NSW,414,1006.881899,47
10201103202,NSW,499,860.1898376,9
10201103203,NSW,751,1057.651547,63
10201103204,NSW,827,953.1202883,30
10201103205,NSW,311,892.4994578,14
10201103206,NSW,61,977.1995313,37
10201103207,NSW,465,1055.140822,63
