"","sa1reg","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"233","20101148318",18,0,0,4,3,4,0,9,0,3
"234","20101148319",0,0,0,0,0,0,0,0,0,0
"235","20101148320",26,6,0,14,15,9,7,8,3,7
"236","20101148321",16,0,10,3,5,9,8,10,4,6
"237","20101148322",19,18,10,11,10,7,16,10,13,7
"238","20101148323",6,5,0,3,3,0,3,0,0,3
"239","20101148324",22,0,11,0,6,3,4,6,4,9
"240","20101148325",8,4,6,8,0,4,0,0,3,0
"241","20101148326",8,12,12,7,8,12,24,16,9,19
"242","20101148401",12,9,6,0,3,0,3,6,4,7
"243","20101148402",14,4,3,0,0,4,3,3,4,0
"244","20101148403",3,6,0,0,4,7,5,3,3,0
"245","20101148404",15,3,5,0,4,3,6,0,4,0
"246","20101148405",13,3,4,3,10,0,6,4,4,0
"247","20101148406",6,9,15,7,8,5,7,11,9,5
"248","20101148407",11,0,3,5,6,8,6,8,5,7
"249","20101148408",4,4,9,0,6,3,6,3,3,6
"250","20101148409",8,0,0,0,3,4,0,7,3,8
"251","20101148410",9,0,4,0,5,10,4,4,4,4
"252","20101148411",4,8,3,0,3,8,6,8,4,3
"253","20101148412",0,11,8,3,9,14,14,17,11,11
"254","20101148413",10,3,7,0,3,8,3,10,5,10
"255","20101148414",9,3,11,6,11,8,9,3,10,5
"256","20101148415",0,0,0,0,3,0,6,0,0,0
"257","20101148416",9,6,5,8,7,3,0,0,4,6
"258","20101148417",12,0,8,13,9,10,11,6,14,14
"259","20101148418",6,0,10,3,12,6,10,5,14,6
"260","20101148419",9,0,4,0,5,4,3,3,0,0
"261","20101148420",6,4,0,0,7,3,3,0,0,0
"262","20101148421",5,0,0,0,0,5,4,4,6,5
"263","20101148422",3,0,7,3,5,0,11,0,4,3
"264","20101148423",7,0,5,0,3,3,8,0,0,4
"265","20101148424",14,0,4,0,0,0,8,9,6,7
"266","20101148425",22,0,5,0,3,9,4,13,3,7
"267","20101148426",10,0,5,0,4,9,4,0,0,0
"268","20101148427",13,0,4,0,0,5,3,0,3,0
"269","20101148428",8,0,7,0,3,6,10,13,9,10
"270","20102100901",8,0,15,7,4,6,3,6,8,3
"271","20102100902",7,0,4,0,3,3,0,7,3,10
"272","20102100903",12,5,0,0,8,5,7,11,8,5
"273","20102100904",5,0,0,0,5,0,3,0,0,3
"274","20102100905",0,0,5,0,4,5,4,0,0,7
"275","20102100906",7,0,0,5,3,9,5,3,3,5
"276","20102100907",7,5,6,0,6,4,9,5,4,5
"277","20102100908",6,8,0,3,3,6,5,6,3,7
"278","20102100909",13,0,0,6,7,4,8,4,9,3
"279","20102100910",3,0,0,0,0,3,8,3,3,10
"280","20102100911",4,3,0,0,13,6,7,4,5,3
"281","20102100912",17,0,0,5,13,5,3,7,11,5
"282","20102100913",6,3,10,3,8,0,8,7,4,4
"283","20102100914",3,0,3,0,6,4,4,3,0,3
"284","20102100915",3,4,3,0,6,0,6,6,15,6
"285","20102100916",8,3,0,0,0,3,5,4,0,5
"286","20102100917",21,3,13,9,10,6,13,10,4,13
"287","20102101001",13,3,5,4,5,5,12,4,0,3
"288","20102101002",0,0,0,5,5,10,3,6,4,5
"289","20102101003",0,0,0,0,4,0,0,7,0,5
"290","20102101004",0,0,3,3,4,3,5,8,6,6
"291","20102101005",0,0,0,0,0,0,0,3,0,0
"292","20102101006",3,3,4,8,6,3,3,4,8,3
"293","20102101007",9,0,0,5,11,10,8,9,8,8
"294","20102101008",12,0,5,4,11,3,7,4,5,4
"295","20102101009",0,0,5,0,0,4,7,5,3,4
"296","20102101010",6,4,0,6,5,8,0,0,4,5
"297","20102101011",0,5,3,5,9,7,6,4,11,3
"298","20102101012",0,0,3,0,5,0,0,4,0,0
"299","20102101013",3,0,6,5,4,0,9,9,0,3
"300","20102101014",7,8,6,6,8,8,6,0,5,0
"301","20102101015",0,0,0,0,4,3,9,3,9,0
"302","20102101016",0,0,0,0,0,3,8,0,9,0
"303","20102101017",5,0,0,3,4,4,8,4,3,0
"304","20102101018",8,0,6,3,6,8,3,4,11,5
"305","20102101021",0,0,5,0,4,0,9,0,0,4
"306","20102101022",0,0,0,0,0,0,3,5,3,0
"307","20102101023",0,0,3,4,5,0,0,5,0,0
"308","20102101024",5,4,0,0,0,6,4,7,6,3
"309","20102101025",3,0,5,5,3,0,3,0,3,7
"310","20102101101",8,0,5,4,9,7,10,10,8,13
"311","20102101102",4,0,0,0,0,0,0,6,3,7
"312","20102101103",0,8,3,0,5,3,5,0,3,3
"313","20102101104",5,0,5,0,3,6,0,0,5,0
"314","20102101105",0,0,0,0,0,4,5,0,0,0
"315","20102101106",0,0,0,0,4,7,6,4,3,5
"316","20102101107",3,9,5,0,8,16,10,4,11,9
"317","20102101108",0,0,0,0,0,5,0,0,0,0
"318","20102101109",6,0,6,0,0,0,4,0,0,0
"319","20102101110",4,0,7,7,9,11,7,3,6,8
"320","20102101111",0,0,0,3,0,8,0,0,7,0
"321","20102101112",7,7,10,7,4,4,6,0,4,3
"322","20102101113",7,13,14,0,10,8,11,4,8,7
"323","20102101114",6,0,0,5,0,4,4,3,0,4
"324","20102101115",0,3,0,0,5,4,4,4,7,11
"325","20102101116",4,0,0,6,4,8,0,0,6,3
"326","20102101117",3,0,0,0,5,8,0,0,0,4
"327","20102101118",5,4,3,0,0,4,0,6,0,5
"328","20102101119",7,0,0,4,5,3,3,4,5,0
"329","20102101120",8,6,0,3,4,3,5,8,4,4
"330","20102101121",5,0,0,3,4,8,4,4,9,5
"331","20102101122",6,0,0,0,3,4,3,10,0,4
"332","20102101123",0,0,0,0,0,4,0,5,4,0
