2021 Statistical Area Level 1 (SA1),Usual Resident Population,Score,Percentile within Australia
10104102730,46,1083.302443,79
10104102731,353,938.8795844,26
10104102732,361,941.0283013,27
10104102733,372,962.210451,34
10105153901,220,1080.17206,78
10105153902,258,925.8925225,23
10105153903,213,985.24616,42
10105153904,479,918.0452293,21
10105153905,313,881.8366668,13
10105153906,314,860.5104562,9
10105153909,274,780.1612293,3
10105153910,179,836.7776127,6
10105153911,473,984.8109867,42
10105153912,513,931.323883,24
10105153913,223,881.1006351,12
10105153914,400,997.6706824,47
10105153915,279,892.5283227,15
10105153916,605,1036.634284,63
10105153917,308,934.1161549,25
10105153918,327,863.8074554,9
10105153919,501,915.3867698,20
10105153920,817,961.4910541,34
10105153921,413,935.4153944,25
10105153922,579,1061.448196,72
10105153923,371,994.1789795,46
10105153924,439,764.3794988,2
10105153925,445,908.5892617,18
10105153926,433,873.4472267,11
10105153927,227,1017.834711,55
10105153928,103,989.1948172,44
10105153929,551,889.0890572,14
10105153930,390,1039.960304,64
10105153931,380,954.1453093,31
10105153932,423,943.4641383,28
10105153933,271,927.983691,23
10105153934,275,908.1818979,18
10105153935,507,972.4193617,38
10105153936,305,960.6326449,33
10105153937,508,767.4433806,2
10105153938,291,939.5952323,27
10105153939,353,914.7597329,20
10105153940,215,856.1824346,8
10105153941,216,948.9597106,30
10105153942,562,854.5890385,8
10105153943,399,960.1880732,33
10105153944,519,940.1019237,27
10105153945,742,852.0031714,8
10105153946,362,992.8226816,45
10105153947,325,885.3935446,13
10105153948,206,922.6406677,22
10105153949,117,889.5166739,14
10105153950,419,951.6574089,30
10105153951,357,1004.937356,50
10105153952,323,1024.314425,58
10105153953,328,895.9167094,16
10105153954,384,806.7229532,4
10105153955,291,1023.157606,57
10105153956,374,884.0684747,13
10105153957,476,871.0294607,11
10105153959,356,930.679665,24
10105153960,262,893.7619817,15
10105153961,280,960.2020953,33
10105153962,421,978.2294668,40
10105153963,196,719.9231338,1
10105153964,442,978.654519,40
10105153966,883,1016.389155,55
10105153968,211,1028.571799,59
10105153969,386,1024.0563,58
10105153970,369,940.5683079,27
10105154001,819,923.3355583,22
10105154002,417,953.7731673,31
10105154003,349,987.8433303,43
10105154004,699,1006.454026,51
10105154005,407,1027.166571,59
10105154006,514,1021.186832,57
10105154007,341,1033.458498,61
10105154008,345,979.210387,40
10105154009,207,964.004366,34
10105154010,483,888.688842,14
10105154011,308,919.4213143,21
10105154012,469,954.5072345,31
10105154014,372,1047.133088,67
10105154015,347,1073.661755,76
10105154016,593,1008.659978,52
10105154017,411,1033.775151,62
10105154018,318,1009.082971,52
10105154019,315,1020.662497,56
10105154020,539,972.4270734,38
10105154021,588,1005.198603,50
10105154022,295,1008.643165,52
10105154023,520,1000.524046,48
10105154024,374,908.2188898,18
10105154025,264,1026.114787,59
10105154026,291,1009.204044,52
10105154027,349,973.0885743,38
10105154028,339,1003.687951,50
10105154029,480,1011.10873,53
10105154030,292,918.9505534,21
10105154031,588,915.2689021,20
10105154032,277,952.99996,31
10105154033,410,981.1101318,41
10105154034,250,1091.592031,82
10105154035,251,1060.651549,72
10106154101,762,1031.87669,61
10106154102,483,974.9765338,39
10106154103,726,901.2226851,17
10106154104,258,995.8710377,47
10106154105,447,966.8598739,36
10106154106,541,992.8028495,45
10106154107,582,973.9297942,38
10106154108,278,1053.040187,69
10106154109,426,1011.897384,53
10106154111,592,971.0350989,37
10106154112,487,964.5933575,35
10106154113,384,975.0630058,39
10106154115,513,1094.110381,82
10106154117,143,1063.752815,73
10106154118,153,1033.500166,61
10106154201,293,1046.638615,66
10106154202,203,1024.485919,58
10106154203,248,1067.798712,74
10106154204,346,1010.057042,52
10106154206,230,970.5110522,37
10106154207,304,1011.913796,53
10106154208,407,1131.096848,91
10106154209,307,1109.677267,87
10106154210,410,1074.233634,76
10106154211,324,1120.938029,89
10106154212,290,925.9020973,23
10106154213,503,1141.976293,94
10106154216,416,1150.451991,95
10106154217,715,1166.261551,97
10106154219,302,963.5026102,34
10106154220,303,969.0368746,36
10106154222,303,1126.683979,91
10106154223,462,1102.573519,85
10106154224,274,1055.795872,70
10106154226,312,1098.934784,84
10106154227,271,1117.012709,88
10106154228,516,1098.057004,84
10106154229,126,971.3509694,37
10106154231,342,1112.723598,87
10106154232,252,1141.814468,94
10106154233,365,1145.187625,94
10106154234,348,1134.69014,92
10106154235,341,1141.392925,93
10106154236,196,1096.387994,83
10106154237,284,1147.604609,95
10106154238,304,1051.508525,68
10106154239,464,1110.433768,87
10106154240,689,1061.084623,72
10106154241,498,1152.763363,95
10106154242,299,1180.382462,99
10106154243,459,1077.660909,77
10106154301,609,869.7466091,10
10106154302,344,888.9669282,14
10106154303,428,872.361221,11
10106154304,339,865.2931532,10
10106154305,374,890.1826494,14
10106154306,561,954.5978591,31
10106154307,166,878.4156112,12
10106154308,506,769.5088921,2
10106154309,360,969.7729858,37
10106154310,228,1014.245008,54
10106154311,251,842.7054186,7
10106154312,304,810.0815833,4
10106154313,469,860.4798324,9
10106154314,450,869.0682916,10
10106154315,426,923.4126622,22
10106154316,591,965.9362087,35
10106154317,232,1017.548999,55
10106154318,346,797.9088681,3
10106154319,276,846.7307525,7
10106154321,446,1011.334594,53
10106154322,537,969.010314,36
10106154323,261,1019.842732,56
10106154324,247,943.1657427,28
10106154325,477,965.8424245,35
10106154326,409,1009.441787,52
10106154327,260,796.3489634,3
10106154328,449,984.5482696,42
10106154329,216,914.9840683,20
10106154330,354,879.8585989,12
10106154401,154,1019.294024,56
10106154402,307,960.1190747,33
10106154403,330,973.1382609,38
10106154404,421,1004.60362,50
10106154405,342,910.4798892,19
10106154406,257,1007.988054,51
10106154408,374,962.2215883,34
10106154409,341,938.1958178,26
10106154410,389,910.6543295,19
10106154411,461,1030.734767,60
10106154412,335,973.0440826,38
10106154413,273,773.08684,2
10106154414,373,989.616901,44
10106154415,383,947.593793,29
10106154416,253,859.7745316,9
10106154417,673,902.6743167,17
10106154418,483,1087.831465,81
10106154419,390,971.0076726,37
10106154420,254,941.0054394,27
10106154421,375,841.6459675,7
10106154422,49,987.0100745,43
10106154423,432,867.3997988,10
10201102802,612,1082.008357,79
10201102803,641,1084.47368,80
10201102804,233,1083.776945,79
10201102805,302,1117.168895,88
10201102806,546,1038.998227,64
10201102807,467,1111.580517,87
10201102808,397,1117.961195,88
10201102809,637,1103.457023,85
10201102810,490,1094.088891,82
10201102811,424,1073.236731,76
10201102812,452,1065.04558,73
10201102813,360,1027.612739,59
10201102814,450,1091.978914,82
10201102815,367,1034.336584,62
10201102816,267,1114.551433,88
10201102817,433,1109.484029,86
10201102818,442,1093.693907,82
10201102901,344,1094.968988,83
10201102902,341,1095.111064,83
10201102903,450,988.7273473,44
10201102904,542,993.8558354,46
10201102905,402,1057.674488,70
10201102906,240,1129.31776,91
10201102907,301,1035.234305,62
10201102908,392,1050.10248,68
10201102909,392,1050.951034,68
10201102910,589,1007.95191,51
10201102911,517,1073.344145,76
10201102912,473,1113.099772,87
10201102913,344,1104.915723,85
10201102914,301,1072.824914,76
10201102915,500,1037.092612,63
10201102916,370,1036.583666,63
10201102917,308,1088.626191,81
10201102918,355,1103.841345,85
10201102919,377,1025.790894,58
10201102922,525,1075.91078,77
10201102923,373,1033.464278,61
10201102924,478,1081.522709,79
10201102925,542,1033.522293,61
10201102926,323,1097.986366,84
10201102927,548,1085.898111,80
10201102928,721,937.0928293,26
10201103002,606,1047.857817,67
10201103003,227,1022.737942,57
10201103004,301,1031.351876,61
10201103005,253,1060.001791,71
10201103006,356,1040.841652,64
10201103007,387,1041.905501,65
10201103008,205,1030.850266,60
10201103009,430,987.3947729,43
10201103010,473,990.5746309,44
10201103011,558,917.5246404,21
10201103012,448,1091.873333,82
10201103014,463,1034.948572,62
10201103101,346,1084.215467,80
10201103102,369,1101.748071,85
10201103103,469,924.5435346,22
10201103104,501,869.5683426,10
10201103105,437,1000.61425,48
10201103106,278,942.2797842,27
10201103107,33,1125.043862,90
10201103108,258,1095.673326,83
10201103109,256,1055.52404,70
10201103110,439,1001.368813,49
10201103111,411,1033.814468,62
10201103112,173,1145.956922,94
10201103113,449,1146.400579,94
10201103114,498,1119.548731,89
10201103115,558,1117.910894,88
10201103116,519,1086.103136,80
10201103117,377,1033.08162,61
10201103118,418,1128.248356,91
10201103119,454,1103.386276,85
10201103120,397,1066.25791,73
10201103121,275,1018.044338,55
10201103122,423,1035.49319,62
10201103123,393,887.0918222,14
10201103124,352,1051.364301,68
10201103125,244,1006.280834,51
10201103126,494,790.7816614,3
10201103127,392,1076.466612,77
10201103128,471,1039.290501,64
10201103129,586,1100.691218,84
10201103130,327,1071.400279,75
10201103131,668,851.4260799,8
10201103133,391,1080.86072,78
10201103134,439,1029.731897,60
10201103135,425,1053.872704,69
10201103136,377,1011.736521,53
10201103137,341,1000.058017,48
10201103138,524,1016.341534,55
10201103201,414,1006.881899,51
10201103202,499,860.1898376,9
10201103203,751,1057.651547,70
10201103204,827,953.1202883,31
10201103205,311,892.4994578,15
10201103206,61,977.1995313,39
10201103207,465,1055.140822,69
10201103208,685,988.6200539,44
10201103210,224,898.1959085,16
10201103211,558,976.9344489,39
10201103212,519,980.7916212,41
10201103213,103,983.8611534,42
10201103214,622,1011.20648,53
10201103215,228,991.6086693,45
10201103216,325,989.9697988,44
10201103217,194,1011.630784,53
10201103218,430,1040.998062,64
10201103219,357,974.0533892,38
10201103220,365,992.7400219,45
10201103221,286,954.5191171,31
10201103224,737,1018.420341,55
10201103225,224,1000.874153,48
10201103226,264,973.9551014,38
10201103227,574,827.08683,5
10201103228,798,926.4385903,23
10201103229,421,916.8473018,20
10201103230,545,962.73312,34
10201103231,511,1020.471695,56
10201103232,470,981.373715,41
10201103233,335,1035.991769,62
10201103234,784,1048.910049,67
10201103235,374,919.0771598,21
10201103236,525,907.2901294,18
10201103237,918,1033.385368,61
10201103238,343,1141.266018,93
10201103239,614,1029.310697,60
10201103240,385,954.5318273,31
10201103241,543,1005.91956,50
10201103242,655,939.4779485,27
10201103243,502,1100.062455,84
10201103244,632,922.4483723,22
10201103245,533,984.0782441,42
10201103246,360,1045.735026,66
10201103247,525,1112.969695,87
10201103248,405,906.6734528,18
10201103301,207,982.1349913,41
10201103302,544,982.3949901,41
10201103303,388,1005.610232,50
10201103304,360,1003.033483,49
10201103305,334,1038.898618,64
10201103306,301,1021.19334,57
10201103307,204,994.9915263,46
10201103308,404,1030.372292,60
10201103310,366,1020.64937,56
10201103311,388,994.577472,46
10201103312,313,1025.399586,58
10201103313,299,1040.034057,64
10201103314,352,994.3906665,46
10201103315,776,1031.533586,61
10201103317,561,996.0532206,47
10201103318,193,1006.319949,51
10201103319,405,1029.260114,60
10201103401,388,981.8443762,41
10201103402,346,982.700695,41
10201103403,620,953.760303,31
10201103404,266,1009.487497,52
10201103405,428,1018.084886,55
10201103406,158,981.4294673,41
10201103408,334,1079.898725,78
10201103409,343,1006.607989,51
10201103410,424,979.2306488,40
10201103411,477,1048.585611,67
